Sid,Date,Close,returns_percent,states_value,state,portfolio_value
FIBBG000B9XRY4,2023-10-30,169.8492,0.0123050625623566,1,Bull,12
FIBBG000B9XRY4,2023-10-31,170.328,0.0028189711814951,0,Flat,12
FIBBG000B9XRY4,2023-11-01,173.5197,0.018738551500634,1,Bull,13
FIBBG000B9XRY4,2023-11-02,177.1104,0.0206933276164032,1,Bull,13
FIBBG000B9XRY4,2023-11-03,176.1927,-0.0051815139031925,0,Flat,13
FIBBG000B9XRY4,2023-11-06,178.7661,0.014605599437434,1,Bull,14
FIBBG000B9XRY4,2023-11-07,181.3494,0.014450726396112,1,Bull,14
FIBBG000B9XRY4,2023-11-08,182.4166,0.0058847727094767,0,Flat,14
FIBBG000B9XRY4,2023-11-09,181.9378,-0.0026247611237134,0,Flat,14
FIBBG000B9XRY4,2023-11-10,186.1624,0.0232200235465086,1,Bull,15
FIBBG000B9XRY4,2023-11-13,184.5645,-0.0085833659213674,0,Flat,15
FIBBG000B9XRY4,2023-11-14,187.2011,0.0142855207799982,1,Bull,16
FIBBG000B9XRY4,2023-11-15,187.7704,0.003041114608835,0,Flat,16
FIBBG000B9XRY4,2023-11-16,189.4682,0.0090418937170075,0,Flat,16
FIBBG000B9XRY4,2023-11-17,189.4483,-0.0001050308178364,0,Flat,16
FIBBG000B9XRY4,2023-11-20,191.206,0.009277992993339,0,Flat,16
FIBBG000B9XRY4,2023-11-21,190.397,-0.0042310387749338,0,Flat,16
FIBBG000B9XRY4,2023-11-22,191.0662,0.0035147612619947,0,Flat,16
FIBBG000B9XRY4,2023-11-24,189.7279,-0.0070043785871075,0,Flat,16
FIBBG000B9XRY4,2023-11-27,189.5481,-0.000947672956903,0,Flat,16
FIBBG000B9XRY4,2023-11-28,190.1573,0.0032139599394559,0,Flat,16
FIBBG000B9XRY4,2023-11-29,189.1287,-0.0054092059573836,0,Flat,16
FIBBG000B9XRY4,2023-11-30,189.7079,0.0030624648718041,0,Flat,16
FIBBG000B9XRY4,2023-12-01,190.9963,0.0067914936594627,0,Flat,16
FIBBG000B9XRY4,2023-12-04,189.1886,-0.0094645812510503,0,Flat,16
FIBBG000B9XRY4,2023-12-05,193.1735,0.0210631084536805,1,Bull,17
FIBBG000B9XRY4,2023-12-06,192.0749,-0.0056871154687365,0,Flat,17
FIBBG000B9XRY4,2023-12-07,194.0224,0.0101392737937127,1,Bull,18
FIBBG000B9XRY4,2023-12-08,195.4606,0.0074125461802348,0,Flat,18
FIBBG000B9XRY4,2023-12-11,192.9338,-0.0129274135043073,-1,Bear,17
FIBBG000B9XRY4,2023-12-12,194.4619,0.0079203332956694,0,Flat,17
FIBBG000B9XRY4,2023-12-13,197.7077,0.016691187322555,1,Bull,18
FIBBG000B9XRY4,2023-12-14,197.8575,0.0007576841974288,0,Flat,18
FIBBG000B9XRY4,2023-12-15,197.3182,-0.0027256990510847,0,Flat,18
FIBBG000B9XRY4,2023-12-18,195.6404,-0.0085030169543407,0,Flat,18
FIBBG000B9XRY4,2023-12-19,196.689,0.0053598336539896,0,Flat,18
FIBBG000B9XRY4,2023-12-20,194.5817,-0.0107138680861663,-1,Bear,17
FIBBG000B9XRY4,2023-12-21,194.4319,-0.0007698565692457,0,Flat,17
FIBBG000B9XRY4,2023-12-22,193.3533,-0.0055474436036474,0,Flat,17
FIBBG000B9XRY4,2023-12-26,192.804,-0.002840913498761,0,Flat,17
FIBBG000B9XRY4,2023-12-27,192.9038,0.0005176241156821,0,Flat,17
FIBBG000B9XRY4,2023-12-28,193.3333,0.0022264983893527,0,Flat,17
FIBBG000B9XRY4,2023-12-29,192.2846,-0.0054243112800536,0,Flat,17
